path,SMTInterpol,,Yices2,,Z3alpha,,cvc5,
,result,runtime,result,runtime,result,runtime,result,runtime
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ComplxStruc.c__p22357_terminationG_0.smt2,0,0.7616996390279382,0,1201.26215004595,0,1201.710741900839,0,1201.715399214998
QF_NIA/20170427-VeryMax/ITS/From_T2__fourn.c.i.fourn.pl.t2.nor.t2.rlgfixed.t2__p32652_terminationG_0.smt2,0,0.8795449379831553,1,5.949802621966228,1,28.399110472062603,1,33.2283263981808
QF_NIA/20170427-VeryMax/ITS/From_T2__opt-tree.c.t2__terminationS_1_0.smt2,0,1.2400387009838596,1,0.6488212649710476,1,8.987777492962778,1,3.193008140893653
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p13326_safety_0.smt2,0,1.0120013009291142,1,6.428573265904561,1,20.920627116924152,1,430.86445102095604
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16486_safety_0.smt2,0,0.8192465250613168,1,0.5249597229994833,1,2.1962645060848445,1,2.512657265877351
QF_NIA/mcm/156.smt2,0,4.124985854956321,0,1201.2233440489508,0,1201.7212649390567,1,718.0565267140046
QF_NIA/LassoRanker/HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration2_Lasso+nonterminationTemplate_0.smt2,1,0.5001234490191564,1,36.48446203395724,1,0.27954053110443056,1,0.22902747197076678
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9174_safety_0.smt2,0,0.7568365900078788,1,0.2717572469264269,1,3.2349675910081714,1,5.891142692184076
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c__p21022_terminationG_0.smt2,0,0.49764142895583063,0,1201.211812317837,1,16.722881422145292,0,1201.7152820969932
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23268_terminationG_0.smt2,0,0.6273314540740103,0,1201.2343035871163,1,2.9658230270724744,1,601.1246918002144
QF_NIA/20170427-VeryMax/SAT14/485.smt2,0,0.6212340400088578,1,0.28457706701010466,1,0.29219019296579063,1,0.37058990099467337
QF_NIA/20170427-VeryMax/SAT14/1586.smt2,0,0.8141552100423723,1,0.25760528701357543,1,0.31842993991449475,1,1.4344532818067819
QF_NIA/20170427-VeryMax/SAT14/244.smt2,0,0.812232053023763,1,0.3171486828941852,1,0.3147996470797807,1,0.7038201191462576
QF_NIA/20170427-VeryMax/SAT14/994.smt2,0,536.5064860599814,1,2.2311961399391294,1,5.390282000880688,1,4.4466735508758575
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8128_safety_0.smt2,0,0.8707618960179389,1,0.34900940605439246,1,79.29355166386813,1,3.110783818876371
QF_NIA/20170427-VeryMax/SAT14/1874.smt2,0,1.0751599629875273,1,2.2760715479962528,1,0.36493920418433845,1,1.5266258278861642
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32509_safety_0.smt2,0,0.8381429399596527,1,0.39540325896814466,1,51.10100611089729,1,421.91956332093105
QF_NIA/20170427-VeryMax/SAT14/996.smt2,0,1.8244532429380342,1,1.9528810509946197,1,8.657385285012424,1,5.21879855892621
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p4994_terminationG_0.smt2,0,0.5365144810639322,0,1201.2309286179952,1,30.025174333015457,0,1201.725920906989
QF_NIA/20220315-MathProblems/STC_0793.smt2,0,0.3964540120214224,1,0.2351596630178392,1,36.478411108022556,1,429.81140886899084
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.t2_fixed__terminationS_22_0.smt2,0,1.548724240041338,1,0.2671565569471568,1,7.781526745995507,1,4.68252985808067
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p27854_safety_0.smt2,0,0.5341753750108182,1,0.4521285109221935,1,14.694858107017353,1,421.2701618359424
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22687_terminationG_0.smt2,0,1.2896911340067163,0,1201.581503574038,1,312.46620022295974,1,868.1087638679892
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31696_safety_0.smt2,0,0.8336472529917955,1,0.2860580461565405,1,20.110426475992426,0,1201.7492628789041
QF_NIA/20170427-VeryMax/SAT14/138.smt2,0,0.6956878459313884,1,0.26924703805707395,1,0.3112081540748477,1,0.4428040839266032
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c__p21385_terminationG_0.smt2,0,0.4955187609884888,1,0.35232720617204905,1,9.807953681098297,1,0.6318297749385238
QF_NIA/AProVE/aproveSMT2727005535650254931.smt2,0,1.2567427670001052,1,0.5973569059278816,1,1.3685659021139145,0,1087.6488651412074
QF_NIA/20170427-VeryMax/ITS/From_T2__zlib-adler32.c.t2__p25920_safety_0.smt2,0,0.4762511570006609,0,1201.262063329108,1,7.706298998789862,1,0.6382770368363708
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Matrix.jar-obl-16__p10810_safety_0.smt2,0,0.7351801770273596,1,0.41334438184276223,1,236.085696245078,1,0.44613943900913
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Cousot.c__p22451_terminationG_0.smt2,0,0.4815985889872536,0,1201.286688201828,1,115.98984811105765,0,1201.7397299529985
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9187_safety_0.smt2,0,0.964461522991769,1,0.7525575431063771,1,19.592132699210197,1,1.4228730648756027
QF_NIA/20170427-VeryMax/SAT14/11.smt2,0,0.48018656694330275,1,0.22811215510591865,1,0.4648072859272361,1,420.4749387979973
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32690_safety_0.smt2,0,0.7409634469076991,1,1.4854342120233923,1,1.4879104511346668,1,422.80489334417507
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16065_safety_0.smt2,0,0.5420797009719536,0,1201.2512781149708,0,1201.7138344431296,0,1201.718751686858
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7880_safety_0.smt2,0,0.812691537081264,1,13.752170050982386,1,25.330085820984095,1,1.6104927079286426
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p14184_safety_0.smt2,0,0.8126222379505634,1,0.28960921498946846,1,2.115797956008464,1,10.458117861999199
QF_NIA/AProVE/aproveSMT4279626034464022719.smt2,0,0.41850436897948384,1,0.22993879206478596,1,0.9360245640855283,1,0.5619852158706635
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Even.c__p22671_terminationG_0.smt2,0,0.43814515694975853,1,0.2221952921245247,1,0.34493585606105626,1,0.457730570808053
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p12888_safety_0.smt2,0,0.8115933910012245,1,0.8297393079847097,1,6.089659929042682,1,126.08139172499068
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30734_safety_0.smt2,0,0.8169198989635333,1,0.3030125100631267,0,1201.7167771221139,1,421.51240415289067
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-whileNestedOffset.jar-obl-8__p14810_edge_closing_0.smt2,0,0.5372369799297303,1,0.4564264689106494,1,1.4266093648038805,1,1.6598763938527554
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29842_terminationG_0.smt2,0,1.5485640439437702,1,57.89109962899238,1,6.129495321074501,1,6.278744305949658
QF_NIA/20170427-VeryMax/ITS/From_T2__tqli.t2_fixed__p25121_terminationG_0.smt2,0,8.208668723003939,0,1201.28870010213,0,1201.7167270940263,0,1165.7644198930357
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4422_safety_0.smt2,0,0.9767854640085716,1,0.6301345550455153,1,0.6468358209822327,1,430.7486522512045
QF_NIA/20170427-VeryMax/ITS/From_T2__n_firewire_instrumented-PP.t2__terminationQ_3_0.smt2,0,1.8339395149378106,1,2.7528029959648848,1,12.7054833129514,0,1201.7282903101295
QF_NIA/20220315-MathProblems/STC_0252.smt2,0,0.39994693908374757,0,1201.2253499829676,1,0.7189453721512109,1,28.738458507927135
QF_NIA/20170427-VeryMax/ITS/From_T2__ppblockbug.t2__p7660_terminationG_0.smt2,0,0.6685131740523502,0,1201.2270371429622,1,19.743879035115242,0,1201.7333631289657
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30121_safety_0.smt2,0,0.7972898989683017,1,0.31437381193973124,1,0.5046214759349823,1,117.29592523886822
QF_NIA/20170427-VeryMax/SAT14/852.smt2,0,1.235594431986101,1,2.1513846239540726,1,1.5174853799398988,1,3.8730798808392137
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__collatz.c__p22219_terminationG_0.smt2,0,0.6901396819157526,0,1201.2219553419854,0,1201.7157456350978,0,1201.737954535056
QF_NIA/20170427-VeryMax/SAT14/343.smt2,0,0.7159023110289127,1,1.8765561790205538,1,0.31161693087778986,1,0.3739448660053313
QF_NIA/20170427-VeryMax/ITS/From_T2__sas2.t2__p21305_terminationG_0.smt2,0,0.7700534380273893,0,1201.2165253700223,1,32.89524146099575,0,1201.7279106529895
QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-accepted-fail.t2_fixed__p15830_terminationG_0.smt2,0,12.650255719083361,0,1201.22308433312,1,601.7603728370741,1,331.9135617441498
QF_NIA/20170427-VeryMax/ITS/From_T2__armc-difficult_foo3.t2__term_unfeasibility_0_0.smt2,0,1.323668351978995,1,2.8012982360087335,1,5.967911598039791,1,226.9588315039873
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23732_edge_closing_0.smt2,0,0.5523504239972681,0,1201.2292131029535,0,1201.717998852022,0,1201.7279977190774
QF_NIA/20170427-VeryMax/ITS/From_T2__p-5.t2__p6868_edge_closing_0.smt2,0,1.4569658569525927,0,1201.402048724005,0,1201.716193699045,1,616.7810562490486
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9207_safety_0.smt2,0,0.8372068499447778,1,6.0551210208795965,1,5.444440908962861,1,492.4371962749865
QF_NIA/20170427-VeryMax/ITS/From_T2__tqli.c.i.tqli.pl.t2.fixed.t2__p25041_edge_closing_0.smt2,0,2.6454667060170323,1,29.235883679939434,1,281.5047962630633,1,671.6274246221874
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-new.t2__p21884_terminationG_0.smt2,0,1.762274057022296,0,1201.2488873798866,0,1080.1500727029052,0,1201.7158854980953
QF_NIA/20170427-VeryMax/ITS/From_T2__tqli.c.i.tqli.pl.t2.nor.t2.rlgfixed.t2__p25072_terminationG_0.smt2,0,2.383244080003351,1,4.411784864030778,1,135.4053713718895,1,23.422200460918248
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p12786_safety_0.smt2,0,0.8981422249926254,1,0.40988626913167536,1,28.684999532066286,1,0.751793100964278
QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2_fixed__p16393_safety_0.smt2,0,0.48964629997499287,1,0.2844008239917457,1,0.7714312800671905,0,1201.7222414659336
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/egcd-ll_unwindbound20-O0.smt2,0,1.774836920085363,1,22.598094237037003,1,0.8866789119783789,1,1.0994131199549884
