logic,feature_source,training_time_seconds,model_file,perf_csv,feature_csv
uf,embeddings_combined,1.4762,uf_embeddings_combined_model.joblib,uf_train.csv,uf_description_with_features_embeddings.csv
uf,features,0.7908,uf_features_model.joblib,uf_train.csv,uf_features_filtered.csv
uf,features_embeddings,1.4495,uf_features_embeddings_model.joblib,uf_train.csv,uf_feat+emb.csv
ufdt,embeddings,0.9696,ufdt_embeddings_model.joblib,ufdt_train.csv,ufdt_description_embeddings.csv
ufdt,embeddings_combined,0.9930,ufdt_embeddings_combined_model.joblib,ufdt_train.csv,ufdt_description_with_features_embeddings.csv
ufdt,features,0.6556,ufdt_features_model.joblib,ufdt_train.csv,ufdt_features_filtered.csv
ufdt,features_embeddings,0.9491,ufdt_features_embeddings_model.joblib,ufdt_train.csv,ufdt_feat+emb.csv
uflia,embeddings,1.3281,uflia_embeddings_model.joblib,uflia_train.csv,uflia_description_embeddings.csv
uflia,embeddings_combined,1.3897,uflia_embeddings_combined_model.joblib,uflia_train.csv,uflia_description_with_features_embeddings.csv
uflia,features,0.7299,uflia_features_model.joblib,uflia_train.csv,uflia_features_filtered.csv
uflia,features_embeddings,1.2971,uflia_features_embeddings_model.joblib,uflia_train.csv,uflia_feat+emb.csv
ufnia,embeddings,2.6165,ufnia_embeddings_model.joblib,ufnia_train.csv,ufnia_description_embeddings.csv
ufnia,embeddings_combined,2.6898,ufnia_embeddings_combined_model.joblib,ufnia_train.csv,ufnia_description_with_features_embeddings.csv
ufnia,features,0.8017,ufnia_features_model.joblib,ufnia_train.csv,ufnia_features_filtered.csv
ufnia,features_embeddings,2.6526,ufnia_features_embeddings_model.joblib,ufnia_train.csv,ufnia_feat+emb.csv
abv,embeddings,1.3400,abv_embeddings_model.joblib,abv_train.csv,abv_description_embeddings.csv
abv,embeddings,1.3050,abv_embeddings_model.joblib,abv_train.csv,abv_description_embeddings.csv
abv,embeddings_combined,1.2972,abv_embeddings_combined_model.joblib,abv_train.csv,abv_description_with_features_embeddings.csv
abv,embeddings_combined,1.3199,abv_embeddings_combined_model.joblib,abv_train.csv,abv_description_with_features_embeddings.csv
abv,features,0.7157,abv_features_model.joblib,abv_train.csv,abv_features_filtered.csv
abv,features,0.7673,abv_features_model.joblib,abv_train.csv,abv_features_filtered.csv
abv,features_embeddings,1.2350,abv_features_embeddings_model.joblib,abv_train.csv,abv_feat+emb.csv
abv,features_embeddings,1.1786,abv_features_embeddings_model.joblib,abv_train.csv,abv_feat+emb.csv
alia,embeddings,1.0917,alia_embeddings_model.joblib,alia_train.csv,alia_description_embeddings.csv
alia,embeddings,1.0543,alia_embeddings_model.joblib,alia_train.csv,alia_description_embeddings.csv
alia,embeddings_combined,1.0756,alia_embeddings_combined_model.joblib,alia_train.csv,alia_description_with_features_embeddings.csv
alia,embeddings_combined,1.1177,alia_embeddings_combined_model.joblib,alia_train.csv,alia_description_with_features_embeddings.csv
alia,features,0.7246,alia_features_model.joblib,alia_train.csv,alia_features_filtered.csv
alia,features,0.6634,alia_features_model.joblib,alia_train.csv,alia_features_filtered.csv
alia,features_embeddings,1.1303,alia_features_embeddings_model.joblib,alia_train.csv,alia_feat+emb.csv
alia,features_embeddings,1.1115,alia_features_embeddings_model.joblib,alia_train.csv,alia_feat+emb.csv
bv,embeddings,1.0749,bv_embeddings_model.joblib,bv_train.csv,bv_description_embeddings.csv
bv,embeddings,1.0747,bv_embeddings_model.joblib,bv_train.csv,bv_description_embeddings.csv
bv,embeddings_combined,1.0458,bv_embeddings_combined_model.joblib,bv_train.csv,bv_description_with_features_embeddings.csv
bv,embeddings_combined,1.1468,bv_embeddings_combined_model.joblib,bv_train.csv,bv_description_with_features_embeddings.csv
bv,features,0.7609,bv_features_model.joblib,bv_train.csv,bv_features_filtered.csv
bv,features,0.8004,bv_features_model.joblib,bv_train.csv,bv_features_filtered.csv
bv,features_embeddings,1.0945,bv_features_embeddings_model.joblib,bv_train.csv,bv_feat+emb.csv
